;word;joy;fear;sadness;anger;surprise;disgust;polarity_negative;polarity_positive
0;?cuménique;0;0;0;0;0;0;0;1
1;?il;0;0;0;0;0;0;0;1
2;?il bandé;0;1;0;0;0;0;1;0
3;?illet;0;0;0;0;0;0;0;1
4;?uf;0;0;0;0;0;0;0;1
5;?uf poisson;0;0;0;0;0;0;1;0
6;?uvre;0;0;0;0;0;0;0;1
7;?uvre classique;1;0;0;0;0;0;0;1
8;@card@ kilo;0;0;0;0;0;0;0;1
9;faux;0;1;1;1;0;1;1;0
10;traductionse;0;0;0;0;0;0;1;0
11;traductionses;0;0;0;0;0;0;1;0
12;traductionss;0;0;0;0;0;0;1;0
13;vrai;0;0;0;0;0;0;0;1
14;abaissement;0;0;1;0;0;0;1;0
15;abaisser;0;0;1;0;0;0;1;0
16;abandon;0;1;1;1;1;0;1;0
17;abandonner;0;1;1;1;0;1;1;0
18;abaondonnées;0;1;1;0;0;0;1;0
19;abasourdir;0;0;0;0;1;0;1;0
20;abat;0;0;0;0;0;1;1;0
21;abattoir;0;1;1;1;0;1;1;0
22;abattre;0;1;1;1;1;0;1;0
23;abbé;0;1;0;0;0;0;1;0
24;abcès;0;1;1;0;0;1;1;0
25;abdiquer;0;1;1;0;0;0;1;0
26;abdomen;0;0;0;0;0;0;0;1
27;abdominal;0;0;0;0;0;0;0;1
28;abeille;0;1;0;1;0;0;1;0
29;aberrer;0;0;0;1;1;0;1;0
30;abhorrer;0;1;0;1;0;1;1;0
31;abject;0;0;0;1;0;1;1;0
32;ablation;0;1;0;0;0;1;1;0
33;aboiement;0;1;0;1;0;0;1;0
34;abolir;0;0;1;1;0;0;1;0
35;abolition;0;0;1;1;0;0;1;0
36;abominable;0;1;0;0;0;1;1;0
37;abomination;0;1;1;1;0;1;1;0
38;abondance;1;0;0;0;0;0;0;1
39;abondant;1;0;0;0;0;0;0;1
40;abonder;1;0;0;0;0;0;0;1
41;abonnement;0;0;0;0;0;0;0;1
42;aborder;0;0;0;1;1;0;0;1
43;aborigène;0;0;0;0;0;0;0;1
44;abortif;0;1;1;1;0;0;1;0
45;aboutir;1;0;0;0;0;0;0;1
46;aboyer;0;1;0;1;0;0;1;0
47;abpimée;0;1;1;1;0;0;1;0
48;abrasion;0;1;1;0;0;1;1;0
49;abreuvoir;0;0;0;0;0;0;0;1
50;abri jardin;0;0;0;0;0;0;1;0
51;abriter;0;0;0;0;0;0;0;1
52;abrogation;0;1;1;0;0;0;1;0
53;abroger;0;1;1;0;0;0;1;0
54;abrupt;0;1;0;0;0;0;1;0
55;abrutir;0;0;0;1;0;1;1;0
56;abréger;0;0;0;0;0;0;0;1
57;abréviation;0;0;0;0;0;0;0;1
58;absence;0;1;1;0;0;0;1;0
59;absent;0;1;1;0;0;0;1;0
60;absentéisme;0;0;1;0;0;0;1;0
61;absinthe;0;0;0;0;0;0;1;0
62;absolution;0;0;0;0;0;0;0;1
63;absorbant;0;0;0;0;0;0;0;1
64;absorber;0;0;0;0;1;0;0;1
